証券コード,会社名,基準日,本文
1301,株式会社　極洋,2026-03-31,"３ 【配当政策】

当社は、株主に対する適切な利益還元を経営の重要な課題のひとつと位置付けており、企業体質の強化及び将来の事業展開に備えるための内部留保の充実を図るとともに、安定配当を継続しつつも、中長期的な利益成長による配当水準の向上を目指します。

当社の剰余金の配当は、期末配当の年１回行うこととしており、取締役会の決議によって剰余金の配当を行うことができる旨を定款で定めておりますが、株主に対する利益還元の重要性を勘案し、当期末の配当については、１株あたり150円を2026年６月24日開催予定の定時株主総会にお諮りする予定です。

 

   （注）基準日が当事業年度に属する剰余金の配当は以下のとおりであります。













決議年月日



配当金の総額（百万円）



１株当たり配当額（円）







2026年６月24日

定時株主総会決議（予定）



1,793



150"
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,2025-12-31,"３ 【配当政策】

当社は、株主に対する利益還元を経営上の重要課題と認識しております。しかしながら、当面の利益還元策については、将来の株主価値を高める事業に経営資源を振り向け、事業を計画的に実行し成長を実現していくことによって株主価値を高め、株主に報いようとの考え方に基づき、金銭による配当を控える方針です。このため金銭による配当は実施しておりません。また、本書作成時点において、配当実施の可能性及びその実施時期については未定です。

  将来的には、今後の事業計画等に反映される戦略目標の実現を優先しつつ、財政状態、経営成績及びキャッシュ・フローの状況を勘案して、利益還元策を決定する予定です。

 

  当社の剰余金配当は、毎年12月31日を基準日とする期末配当及び、毎年６月30日を基準日とする中間配当を基本としております。また、会社法第459条第１項各号に定める事項については、法令に別段の定めがある場合を除き、取締役会の決議によって定める旨を定款に定めております。"
1332,株式会社ニッスイ,2026-03-31,"３【配当政策】

当社グループの利益配分については、長期的・総合的視野に立った企業体質の強化並びに将来成長が見込まれる分野の事業展開に備えた内部留保にも意を用いつつ、経営環境の変化に対応して当社グループの連結業績に応じた株主還元を安定的に行うことを基本方針としています。なお、中期経営計画「GOOD FOODS Recipe2」においては、「安定的な配当を実現しつつ３年間の総還元性向40％以上」としています。

当社の剰余金の配当は、中間配当及び期末配当の年２回の基本的な方針としており、配当の決定機関は、中間配当、期末配当とも取締役会で行うことができる旨定款で定めています。

当事業年度については、期末配当金は１株につき18.0円としました。中間配当金１株当たり14.0円とあわせて、年間配当金は１株につき32.0円となります。
(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額(百万円)



１株当たり配当額(円)







2025年11月６日

取締役会決議



4,252



14.00







2026年５月20日

取締役会決議



5,466



18.00"
1333,Ｕｍｉｏｓ株式会社,2026-03-31,"３【配当政策】

当社は、株主の皆様への利益還元の充実及び安定化のため、中期経営計画「For the ocean, for life 2027」期間（2026年３月期～2028年３月期）においては、 配当性向30％以上を前提とした累進配当を基本方針としております。自己株式の取得については、業績動向を踏まえて剰余金の配当等の決定に関する方針と整合的な範囲において機動的に実施することとしております。

当社は、会社法第454条第５項に規定する中間配当を行うことができる旨を定款で定めており、中間及び期末配当の年２回の剰余金の配当を行うことを基本方針とし、これらの剰余金の配当の決定機関は、中間配当は取締役会、期末配当は株主総会となっております。

また、災害や疫病の流行等の不測の事態が原因で、株主総会を開催することが困難であると取締役会が判断した場合に限り、取締役会の決議により期末配当を行うことができる旨を定款に定めております。

当事業年度の普通株式の配当につきましては、上記方針に基づき、期末配当を１株当たり28円とすることを2026年６月24日開催予定の定時株主総会において決議する予定としております。また、中間配当として１株当たり50円をお支払いしております。

なお、当社は、2026年１月１日付で普通株式１株につき３株の割合で株式分割を行っており、中間配当は株式分割前の１株当たり配当金の金額を記載し、期末配当は株式分割後の１株当たり配当金の金額を記載しております。当事業年度の期首に株式分割が行われたと仮定した場合、１株当たり年間配当金は44円67銭（中間配当16円67銭、期末配当28円）となる予定です。

内部留保資金につきましては、財務健全性の確保を図りながら、バリューサイクルの構築・強化及びグローカル戦略の推進に向けた成長投資等に充当することにより、企業価値向上のために有効活用してまいります。

なお、当事業年度に係る剰余金の配当は次のとおりであります。

決議年月日

基準日

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年11月10日

2025年９月30日

2,526

50

取締役会決議

2026年６月24日

2026年３月31日

4,245

28

定時株主総会決議（予定）

（注）当社は、2026年１月１日付で普通株式１株につき３株の割合で株式分割を行っております。2025年11月10日の取締役会決議に基づく１株当たり配当額については、当該株式分割前の実際の配当金の額を記載しております。また、2026年６月24日定時株主総会決議に基づく１株当たり配当額については、当該株式分割後の金額を記載しております。"
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-02-28,"３ 【配当政策】

当社は、いまだ成長過程にある企業であり、更なる財務体質の強化、競争力の確保を経営上の主要課題の一つとして位置付けております。そのため現時点においては、内部留保の充実を図り、収益力強化、事業規模の拡大のための投資に充当することが、株主の将来の安定的かつ継続的な利益還元に繋がると考えており、当事業年度を含め、配当を行っておりません。

将来的には、各事業年度の財政状態、経営成績を勘案しながら株主への利益還元を実施していく方針ですが、現時点では配当実施の可能性及びその時期等については未定であります。

内部留保金につきましては、経営基盤の安定に向けた財務体質の強化及び事業成長に向けた投資のための資金として有効に活用していく所存であります。

剰余金の配当を行う場合、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としており、これら剰余金の配当の決定機関は取締役会となります。

なお、当社は、会社法第459条第１項各号については、法令の別段の定めのある場合を除き、株主総会の決議によらず取締役会の決議によって定めることができる旨を定款に定めております。"
1375,ユキグニファクトリー株式会社,2026-03-31,"３ 【配当政策】

当社は、中期経営計画の実現に向けて、生産工程の省人化等に関する設備投資や海外事業展開など、積極的な先行投資が業務拡大に必要不可欠であるものと認識しております。また、財務体質の安定強化と中長期的な成長につながる原資とするための内部留保を充実させるとともに、株主に対する利益還元を経営上の重要課題と位置づけ、利益水準と財務状況を総合的に勘案し１株当たり当期利益に基づく連結配当性向30％以上を中長期的な目標として、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。

また、当社は定款に「当会社は、剰余金の配当等会社法第459条第1項各号に定める事項については、法令に別段の定めのある場合を除き、取締役会の決議によって定めることができる。」旨を規定しており、機動的な配当の実施を可能としております。

なお、当社は会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めております。

当事業年度の配当につきましては、次のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年11月６日

取締役会

159

4

2026年５月11日

取締役会

757

19"
1376,カネコ種苗株式会社,2026-05-31,"３【配当政策】

当社の利益配分につきましては、将来の事業展開と経営体質の強化のために必要な内部留保を確保しつつ、安定した配当を継続して実施していくことを基本方針としております。

当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。

これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の配当につきましては、上記方針に基づき、１株当たり48円の配当（うち中間配当11円）を実施する予定です。この結果、当事業年度の配当性向は40.2％となっております。

内部留保金につきましては、今後予想される経営環境の変化に対応すべく、今まで以上にコスト競争力を高め、市場のニーズに応える新商品・新技術の研究開発体制を強化し、さらにグローバル戦略の展開を図るために有効投資してまいりたいと考えております。

当社は、「取締役会の決議により、毎年11月30日を基準日として中間配当を行うことができる。」旨を定款に定めております。
なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年１月７日

121,804

11

取締役会決議

2026年８月27日

409,700

37

定時株主総会決議(予定)"
1377,株式会社　サカタのタネ,2026-05-31,"３ 【配当政策】

当社では、毎事業年度における配当の回数については、中間配当と期末配当の年２回の剰余金の配当を行っております。当社定款において、会社法第454条第５項の規定に基づき、「取締役会の決議によって、毎年11月30日を基準日として中間配当をすることができる。」旨を定めており、期末配当については株主総会、中間配当については取締役会にて決定しております。

当社は、株主の皆様への利益還元を経営の重要課題と考え、長期安定方針の下、安定的・継続的に還元の強化に努めていくこととしております。また、この方針をより客観的に運営していくため、株主資本配当率を指標として採用し、当面2.5％を目指すこととしておりました。

当事業年度の期末配当につきましては、上記の基本方針に基づき、また当期の親会社株主に帰属する当期純利益が業績予想を上回ったことから、公表済の配当予想から10円増の１株当たり50円といたしました。すでに実施いたしました中間配当金35円と期末配当金50円を合わせると、年間配当金は前期比10円増の85円、株主資本配当率は2.5％（前期は2.3％）となります。なお、６期連続の増配となります。

当社は2027年５月期から2036年５月期までの10カ年を対象とする長期経営計画「PASSION2035」を公表いたしました。

次期(2026年６月１日から2027年５月31日)の株主配当予想につきましては、親会社株主に帰属する当期純利益は減益を見込んでおりますが、長期経営計画における株主還元方針に基づき、当期より５円増配し、１株当たり年間90円(うち中間配当40円)といたしました。

内部留保資金につきましては、今後予想される経営環境の変化に対応すべく、今まで以上にコスト競争力を高め、市場ニーズに応える研究・生産体制を強化し、さらには、グローバル戦略の展開を図るために有効投資してまいりたいと考えております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

 

 













決議年月日



配当金の総額

(百万円)



１株当たり配当額

(円)







2026年１月13日

取締役会決議



1,516



35







2026年８月25日

定時株主総会決議（予定）



2,116



50"
1379,ホクト株式会社,2026-03-31,"３【配当政策】

  当社は、株主の皆様に対する利益還元を重要な経営目標と位置づけ増配等の利益還元に前向きに取り組んでまいりました。この方針は、今後も継続してまいりたいと考えております。

具体的には、主たる配当目標としてDOE（連結株主資本配当率）を採用するとともに、2029年３月期における目標水準を3.5%に定め、積極的な株主還元を実施してまいります。

  当社は、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としております。

  これらの配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

  当事業年度の配当につきましては、上記方針を踏まえるとともに最近の業績動向等を勘案し、株主の皆様へより一層の利益還元を図るべく、期末配当を前期比５円増配し１株当たり45円とし、１株当たり中間配当金10円を含めて、年間で55円の配当を実施することを予定しております。この結果、当事業年度の配当性向は30.1％となる予定であります。

  また、内部留保資金につきましては、企業価値の持続的な向上を図るべく、将来の成長に不可欠な戦略投資に優先的に投下してまいります。

当社は、「取締役会の決議により、毎年９月30日を基準日として、中間配当を行うことができる。」旨を定款に定めております。

  なお、当事業年度に係る剰余金の配当は以下のとおりであります。期末配当に関する配当金の総額1,431百万円及び１株当たり配当額45円につきましては、2026年６月26日開催予定の定時株主総会の決議事項となっております。

決議年月日

配当金の総額

（百万円）

１株当たり配当額

（円）

2025年11月14日

318

10

取締役会決議

2026年６月26日

1,431

45

定時株主総会決議（予定）"
137A,Ｃｏｃｏｌｉｖｅ株式会社,2026-05-31,"３【配当政策】

当社は株主還元を適切に行っていくことが重要であると認識しており、剰余金の配当については、内部留保とのバランスを考慮して適切な配当の実施をしていくことを基本方針としております。しかしながら、本書提出日現在では事業も成長過程にあると考えており、内部留保の充実を図り、業容拡大と効率化のための投資に充当していくことが株主に対する最大の利益還元につながると考えております。このことから、創業以来配当は実施しておらず、今後の配当実施の可能性及び実施時期については未定であります。内部留保資金につきましては、今後予想される経営環境の変化に対応すべく、企業体質の強化及び将来の事業展開のための財源として利用していく予定であります。

また、剰余金の配当を行う場合、年１回の剰余金の配当を期末に行うことを基本的な方針としております。配当の決定機関は株主総会であります。また、取締役会の決議により、中間配当を行うことができる旨を定款に設けております。"
