証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,EPS,13.21,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,ROE,0.093,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,営業CF,13864000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,営業利益,4211000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,売上高,303926000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,従業員数,903,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,純利益,3096000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,純資産,74649000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,経常利益,5589000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,総資産,191166000000,JGAAP,S100Z0VF,本体
0000,クラサスケミカル株式会社,Japan GAAP,12月期,2024,自己資本比率,0.348,JGAAP,S100Z0VF,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,EPS,430.83,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,EPS,539.10,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,EPS,548.61,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,EPS,567.48,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,EPS,576.02,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,ROE,0.112,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,ROE,0.128,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,ROE,0.111,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,ROE,0.107,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,ROE,0.095,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,営業CF,-1128000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,営業CF,-6243000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,営業CF,-1721000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,営業CF,5843000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,営業CF,-745000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,営業利益,11079000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,営業利益,10731000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,売上高,253575000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,売上高,272167000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,売上高,261604000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,売上高,302681000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,売上高,334612000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,従業員数,2208,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,従業員数,2112,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,従業員数,2089,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,従業員数,2476,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,従業員数,2542,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,純利益,4634000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,純利益,5782000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,純利益,5936000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,純利益,6740000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,純利益,6841000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,純資産,42174000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,純資産,46966000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,純資産,58860000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2025,純資産,68355000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2026,純資産,78868000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2022,経常利益,6904000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2023,経常利益,8182000000,JGAAP,S100YE8K,本体
1301,株式会社極洋,Japan GAAP,03月期,2024,経常利益,8856000000,JGAAP,S100YE8K,本体
