証券コード,会社名,ホスト,出現回数
1301,株式会社　極洋,www.kyokuyo.co.jp,3
130A,株式会社Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,www.veritasinsilico.com,1
1332,株式会社ニッスイ,www.nissui.co.jp,4
1333,Ｕｍｉｏｓ株式会社,www.umios.com,1
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,vrain.co.jp,1
1375,ユキグニファクトリー株式会社,www.yukiguni-factory.co.jp,1
1376,カネコ種苗株式会社,www.kanekoseeds.jp,1
1377,株式会社　サカタのタネ,corporate.sakataseed.co.jp,10
1379,ホクト株式会社,www.hokto-kinoko.co.jp,1
137A,Ｃｏｃｏｌｉｖｅ株式会社,cocolive.co.jp,1
1380,株式会社秋川牧園,www.akikawabokuen.com,1
1382,株式会社ホーブ,hob.co.jp,1
1383,ベルグアース株式会社,www.bergearth.co.jp,1
1384,株式会社　ホクリヨウ,www.hokuryo.co.jp,1
138A,光フードサービス株式会社,www.hikari-food-service.jp,1
1401,株式会社エムビーエス,www.homemakeup.co.jp,1
1407,株式会社ウエストホールディングス,www.west-gr.co.jp,2
1414,ショーボンドホールディングス株式会社,www.sho-bondhd.jp,2
1417,株式会社ミライト・ワン,www.mirait-one.com,2
1418,インターライフホールディングス株式会社,www.n-interlife.co.jp,1
1419,タマホーム株式会社,www.tamahome.jp,1
141A,株式会社トライアルホールディングス,trial-holdings.inc,1
1420,サンヨーホームズ株式会社,www.sanyohomes.co.jp,2
1429,株式会社日本アクア,www.n-aqua.jp,2
142A,株式会社ジンジブ,jinjib.co.jp,1
1430,ファーストコーポレーション株式会社,www.1st-corp.com,1
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,www.libwork.co.jp,1
1433,ベステラ株式会社,www.besterra.co.jp,1
1434,ＪＥＳＣＯホールディングス株式会社,www.jesco.co.jp,2
1435,株式会社ｒｏｂｏｔ　ｈｏｍｅ,corp.robothome.jp,2
1436,株式会社グリーンエナジー＆カンパニー,green-energy.co.jp,1
1438,株式会社岐阜造園,www.gifu-zohen.co.jp,1
143A,イシン株式会社,ishin1853.co.jp,1
1444,株式会社ニッソウ,reform-nisso.co.jp,1
1446,株式会社キャンディル,www.candeal.co.jp,2
1447,ＳＡＡＦホールディングス株式会社,www.saaf-hd.co.jp,1
1449,株式会社ＦＵＪＩジャパン,www.fujijapan.net,1
1450,ＴＡＮＡＫＥＮ株式会社,www.tanaken-1982.co.jp,1
145A,株式会社Ｌ　ｉｓ　Ｂ,l-is-b.com,1
146A,コロンビア・ワークス株式会社,columbiaworks.jp,1
147A,株式会社ソラコム,soracom.com,1
148A,株式会社ハッチ・ワーク,hatchwork.co.jp,1
1491,中外鉱業株式会社,www.chugaikogyo.co.jp,1
149A,株式会社シンカ,www.thinca.co.jp,1
150A,株式会社ＪＳＨ,www.jsh-japan.jp,1
1514,住石ホールディングス株式会社,www.sumiseki.co.jp,1
1515,日鉄鉱業株式会社,www.nittetsukou.co.jp,3
1518,三井松島ホールディングス株式会社,www.mitsui-matsushima.co.jp,1
151A,株式会社ダイブ,glampicks.jp,1
153A,株式会社カウリス,prtimes.jp,2
155A,株式会社情報戦略テクノロジー,www.is-tech.co.jp,1
156A,マテリアルグループ株式会社,materialgroup.jp,1
157A,グリーンモンスター株式会社,presswalker.jp,1
1605,株式会社ＩＮＰＥＸ,www.inpex.com,1
160A,株式会社アズパートナーズ,www.as-partners.co.jp,1
1662,石油資源開発株式会社,www.japex.co.jp,9
1663,Ｋ＆Ｏエナジーグループ株式会社,www.k-and-o-energy.co.jp,1
166A,株式会社タスキホールディングス,tasuki-holdings.co.jp,1
167A,リョーサン菱洋ホールディングス株式会社,www.rr-hds.co.jp,1
168A,株式会社イタミアート,www.itamiarts.co.jp,1
1711,株式会社ＳＤＳホールディングス,shodensya.com,1
1716,第一カッター興業株式会社,www.daiichi-cutter.co.jp,1
1717,明豊ファシリティワークス株式会社,www.meiho.co.jp,1
1718,美樹工業株式会社,www.mikikogyo.co.jp,1
1719,株式会社安藤・間,www.ad-hzm.co.jp,1
1720,東急建設株式会社,www.tokyu-cnst.co.jp,4
1721,コムシスホールディングス株式会社,www.comsys-hd.co.jp,3
1723,日本電技株式会社,www.nihondengi.co.jp,5
1736,株式会社　オーテック,www.o-tec.co.jp,1
1738,株式会社ニットー,www.nittoh-info.co.jp,1
173A,株式会社ハンモック,mic-r.co.jp,1
1758,太洋基礎工業株式会社,www.taiyoukiso.co.jp,1
175A,株式会社Ｗｉｌｌ　Ｓｍａｒｔ,willsmart.co.jp,1
1762,株式会社髙松コンストラクショングループ,www.takamatsu-cg.co.jp,2
1764,工藤建設株式会社,www.kudo.co.jp,1
1768,株式会社ソネック,www.sonec-const.co.jp,1
176A,レジル株式会社,rezil.co.jp,1
1770,藤田エンジニアリング株式会社,www.fujita-eng.co.jp,1
1771,日本乾溜工業株式会社,www.kanryu.co.jp,1
1777,川崎設備工業株式会社,www.kawasaki-sk.co.jp,3
177A,コージンバイオ株式会社,kohjin-bio.jp,1
1780,株式会社　ヤマウラ,www.yamaura.co.jp,1
1783,株式会社ｆａｎｔａｓｉｓｔａ,fantasista-tokyo.jp,1
1786,オリエンタル白石株式会社,ir.orsc.co.jp,1
1787,株式会社ナカボーテック,www.nakabohtec.co.jp,1
1788,株式会社三東工業社,www.santo.co.jp.html,1
1793,株式会社大本組,www.ohmoto.co.jp,1
1795,株式会社マサル,www.masaru-co.jp,1
1799,第一建設工業株式会社,www.daiichi-kensetsu.co.jp,1
1801,大成建設株式会社,www.taisei-sx.jp,3
1802,株式会社大林組,www.obayashi.co.jp,17
1803,清水建設株式会社,www.shimz.co.jp,7
1807,株式会社佐藤渡辺,watanabesato.co.jp,1
1808,株式会社　長谷工コーポレーション,www.haseko.co.jp,16
1810,松井建設株式会社,www.matsui-ken.co.jp,1
1811,株式会社錢高組,www.zenitaka.co.jp,2
1812,鹿島建設株式会社,www.kajima.co.jp,5
1813,株式会社不動テトラ,www.fudotetra.co.jp,1
1814,大末建設株式会社,www.daisue.co.jp,1
1815,鉄建建設株式会社,www.tekken.co.jp,1
1820,西松建設株式会社,www.nishimatsu.co.jp,4
1822,大豊建設株式会社,www.daiho.co.jp,1
1826,佐田建設株式会社,www.sata.co.jp,3
1827,株式会社ナカノフドー建設,www.wave-nakano.co.jp,1
1828,田辺工業株式会社,www.tanabe-ind.co.jp,1
1832,株式会社北海電工,www.hokkaidenko.co.jp,1
1833,株式会社奥村組,www.okumuragumi.co.jp,3
1835,東鉄工業株式会社,www.totetsu.co.jp,2
1840,株式会社土屋ホールディングス,www.tsuchiya.co.jp,1
1844,株式会社大盛工業,www.ohmori.co.jp,2
1847,株式会社イチケン,www.ichiken.co.jp,1
1848,株式会社富士ピー・エス,www.fujips.co.jp,1
184A,株式会社学びエイド,corp.manabi-aid.jp,1
1850,南海辰村建設株式会社,www.nantatsu.co.jp,1
1852,株式会社淺沼組,www.asanuma.co.jp,1
1853,株式会社　森組,www.morigumi.co.jp,1
1860,戸田建設株式会社,www.toda.co.jp,1
1861,株式会社　熊谷組,www.kumagaigumi.co.jp,3
1866,北野建設株式会社,www.kitano.co.jp,3
1867,株式会社植木組,www.uekigumi.co.jp,2
1869,名工建設株式会社,www.meikokensetsu.co.jp,1
186A,株式会社アストロスケールホールディングス,sdgs.un.org,1
1870,矢作建設工業株式会社,www.yahagi.co.jp,2
1871,ピーエス・コンストラクション株式会社,www.psc.co.jp,1
1873,株式会社日本ハウスホールディングス,www.nihonhouse-hd.co.jp,1
1878,大東建託株式会社,www.kentaku.co.jp,4
1879,新日本建設株式会社,www.shinnihon-c.co.jp,1
1882,東亜道路工業株式会社,www.toadoro.co.jp,1
1885,東亜建設工業株式会社,www.toa-const.co.jp,1
1887,日本国土開発株式会社,contents.xj-storage.jp,2
1888,若築建設株式会社,www.wakachiku.co.jp,1
1893,五洋建設株式会社,www.penta-ocean.co.jp,8
1897,金下建設株式会社,www.kaneshita.co.jp,2
1898,世紀東急工業株式会社,www.seikitokyu.co.jp,2
1899,株式会社福田組,www.fkd.co.jp,1
189A,株式会社Ｄ＆Ｍカンパニー,www.dmcompany.co.jp,1
1904,大成温調株式会社,www.taisei-oncho.co.jp,1
1905,株式会社テノックス,www.pronexus.co.jp,1
1909,日本ドライケミカル株式会社,www.ndc-group.co.jp,1
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ株式会社,www.chordiatherapeutics.com,1
1911,住友林業株式会社,sfc.jp,6
1914,日本基礎技術株式会社,www.jafec.co.jp,1
1921,株式会社　巴コーポレーション,www.tomoe-corporation.co.jp,1
1925,大和ハウス工業株式会社,www.daiwahouse.co.jp,7
1926,ライト工業株式会社,www.raito.co.jp,1
1928,積水ハウス株式会社,www.sekisuihouse.co.jp,6
1929,日特建設株式会社,www.nittoc.co.jp,2
192A,インテグループ株式会社,www.integroup.jp,1
1930,北陸電気工事株式会社,www.rikudenko.co.jp,1
1934,株式会社ユアテック,www.yurtec.co.jp,1
1938,日本リーテック株式会社,www.j-rietec.co.jp,3
1939,株式会社四電工,www.yondenko.co.jp,3
1942,株式会社関電工,www.kandenko.co.jp,3
1944,株式会社きんでん,www.kinden.co.jp,1
1945,株式会社東京エネシス,www.qtes.co.jp,1
1946,株式会社トーエネック,www.toenec.co.jp,2
1948,株式会社弘電社,www.kk-kodensha.co.jp,2
194A,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,wolveshand.jp,1
1950,日本電設工業株式会社,www.densetsuko.co.jp,2
1951,エクシオグループ株式会社,www.exeo.co.jp,4
1952,新日本空調株式会社,www.snk.co.jp,1
1959,株式会社クラフティア,www.kraftia.co.jp,1
195A,株式会社ＭＵＳＣＡＴ　ＧＲＯＵＰ,muscatgroup.co.jp,1
1960,株式会社サンテック,www.suntec-sec.co.jp,1
1961,三機工業株式会社,www.sanki.co.jp,1
1963,日揮ホールディングス株式会社,www.jgc.com,1
1964,中外炉工業株式会社,www.chugai.co.jp,1
1965,株式会社テクノ菱和,www.techno-ryowa.co.jp,1
1966,株式会社　高田工業所,www.takada.co.jp,2
1967,株式会社ヤマト,www.yamato-se.co.jp,1
1969,高砂熱学工業株式会社,www.tte-net.com,2
196A,株式会社ＭＦＳ,www.ir.mortgagefss.jp,1
1972,三晃金属工業株式会社,www.sankometal.co.jp,1
1975,株式会社朝日工業社,www.asahikogyosha.co.jp,6
1976,明星工業株式会社,www.meisei-kogyo.co.jp,1
1979,株式会社大気社,www.taikisha.co.jp,7
197A,株式会社タウンズ,www.tauns.co.jp,1
1980,ダイダン株式会社,www.daidan.co.jp,2
1981,株式会社協和日成,www.kyowa-nissei.co.jp,1
1982,日比谷総合設備株式会社,www.hibiya-eng.co.jp,1
198A,ＰｏｓｔＰｒｉｍｅ株式会社,ictr.co.jp,2
1994,高橋カーテンウォール工業株式会社,www.t-cw.co.jp,1
1997,暁飯島工業株式会社,www.eazima.co.jp,1
1999,サイタホールディングス株式会社,www.saita-hd.co.jp,1
2001,株式会社ニップン,www.nippn.co.jp,1
2002,株式会社日清製粉グループ本社,www.nisshin.com,1
2003,日東富士製粉株式会社,www.nittofuji.co.jp,1
2004,昭和産業株式会社,www.showa-sangyo.co.jp,1
2009,鳥越製粉株式会社,www.the-torigoe.co.jp,1
2053,中部飼料株式会社,www.chubushiryo.co.jp,1
2055,日和産業株式会社,www.nichiwasangyo.co.jp,1
2058,株式会社ヒガシマル,www.k-higashimaru.co.jp,1
205A,株式会社ロゴスホールディングス,logos-holdings.jp,1
2060,フィード・ワン株式会社,www.feed-one.co.jp,1
206A,株式会社ＰＲＩＳＭ　ＢｉｏＬａｂ,ir.prismbiolab.com,1
208A,株式会社構造計画研究所ホールディングス,www.kke-hd.co.jp,1
2108,日本甜菜製糖株式会社,www.nitten.co.jp,3
2109,ＤＭ三井製糖株式会社,www.wri.org,1
2112,塩水港精糖株式会社,www.ensuiko.co.jp,1
2117,ウェルネオシュガー株式会社,www.wellneo-sugar.co.jp,4
211A,株式会社カドス・コーポレーション,cados.jp,1
2120,株式会社ＬＩＦＵＬＬ,lifull.com,2
2121,株式会社ＭＩＸＩ,mixi.co.jp,5
2122,株式会社インタースペース,www.interspace.ne.jp,1
2124,株式会社ジェイエイシーリクルートメント,corp.jac-recruitment.jp,1
2127,株式会社日本Ｍ＆Ａセンターホールディングス,www.nihon-ma.co.jp,1
212A,フィットイージー株式会社,fiteasy.co.jp,1
2130,株式会社メンバーズ,www.members.co.jp,5
2134,北浜キャピタルパートナーズ株式会社,kitahamabank.co.jp,1
2136,株式会社ヒップ,www.hip-pro.co.jp,1
2137,株式会社光ハイツ・ヴェラス,www.varus.co.jp,1
2138,クルーズ株式会社,crooz.co.jp,1
2139,株式会社中広,www.chuco.co.jp,1
2148,アイティメディア株式会社,corp.itmedia.co.jp,3
2152,幼児活動研究会株式会社,www.youji.co.jp,1
2153,Ｅ・Ｊホールディングス株式会社,www.ej-hds.co.jp,3
2154,株式会社オープンアップグループ,www.openupgroup.co.jp,6
2156,セーラー広告株式会社,www.saylor.co.jp,1
2157,株式会社コシダカホールディングス,www.koshidakaholdings.co.jp,1
2158,株式会社ＦＲＯＮＴＥＯ,www.fronteo.com,1
215A,株式会社タイミー,corp.timee.co.jp,1
2160,株式会社ジーエヌアイグループ,www.gniphar,1
2162,ｎｍｓホールディングス株式会社,www.n-ms.co.jp,1
2163,株式会社アルトナー,www.artner.co.jp,1
2164,株式会社地域新聞社,chiikinews.co.jp,1
2168,株式会社パソナグループ,www.pasonagroup.co.jp,7
2169,ＣＤＳ株式会社,www.cds-japan.jp,1
2170,株式会社リンクアンドモチベーション,www.lmi.ne.jp,2
2172,株式会社インサイト,www.insearch.jp,4
2173,株式会社博展,ir.hakuten.co.jp,1
2175,株式会社エス・エム・エス,www.bm-sms.co.jp,2
2179,株式会社成学社,www.kaisei-group.co.jp,1
2181,パーソルホールディングス株式会社,www.persol-group.co.jp,1
2183,株式会社リニカル,www.linical.com,2
2185,株式会社シイエム・シイ,www.cmc.co.jp,1
2186,ソーバル株式会社,www.sobal.co.jp,1
218A,株式会社Ｌｉｂｅｒａｗａｒｅ,liberaware.co.jp,1
2193,クックパッド株式会社,info.cookpad.com,1
2195,アミタホールディングス株式会社,www.amita-hd.co.jp,2
2198,アイ・ケイ・ケイホールディングス株式会社,www.ikk-grp.jp,1
219A,Ｈｅａｒｔｓｅｅｄ株式会社,www.med.or.jp,1
2201,森永製菓株式会社,www.morinaga.co.jp,1
2204,株式会社中村屋,www.nakamuraya.co.jp,2
2206,江崎グリコ株式会社,kmasterplus.pronexus.co.jp,1
2207,株式会社ｍｅｉｔｏ,www.meito-abc.co.jp,2
2208,株式会社ブルボン,www.bourbon.co.jp,1
2209,井村屋グループ株式会社,www.imuraya-group.com,1
220A,株式会社Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,www.fabercompany.co.jp,1
2211,株式会社不二家,www.fujiya-peko.co.jp,2
2212,山崎製パン株式会社,www.yamazakipan.co.jp,1
2215,第一屋製パン株式会社,www.daiichipan.co.jp,1
2216,カンロ株式会社,www.kanro.co.jp,1
2217,モロゾフ株式会社,www.morozoff.co.jp,2
2218,日糧製パン株式会社,www.nichiryo-pan.co.jp,1
2221,岩塚製菓株式会社,www.iwatsukaseika.co.jp,1
2222,寿スピリッツ株式会社,www.kotobukispirits.co.jp,2
2226,株式会社湖池屋,koike-ya.com,5
2229,カルビー株式会社,www.calbee.co.jp,10
2264,森永乳業株式会社,www.morinagamilk.co.jp,14
2266,六甲バター株式会社,www.qbb.co.jp,2
2267,株式会社ヤクルト本社,www.yakult.co.jp,9
2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,www.31ice.co.jp,1
2269,明治ホールディングス株式会社,www.meiji.com,4
2270,雪印メグミルク株式会社,www.meg-snow.com,8
2281,プリマハム株式会社,www.primaham.co.jp,4
2282,日本ハム株式会社,www.nipponham.co.jp,6
2286,林兼産業株式会社,www.hayashikane.co.jp,1
2288,丸大食品株式会社,www.marudai.jp,2
228A,株式会社オプロ,corp.opro.net,1
2291,福留ハム株式会社,www.fukutome.com,1
2292,エスフーズ株式会社,www.sfoods.co.jp,1
2293,滝沢ハム株式会社,www.takizawaham.co.jp,1
2294,株式会社柿安本店,www.kakiyasuhonten.co.jp,3
2296,伊藤ハム米久ホールディングス株式会社,www.itoham-yonekyu-holdings.com,1
2300,株式会社きょくとう,www.cl-kyokuto.co.jp,1
2301,株式会社学情,company.gakujo.ne.jp,2
2303,株式会社ドーン,www.dawn-corp.co.jp,1
2304,株式会社ＣＳＳホールディングス,www.css-holdings.jp,1
2305,株式会社スタジオアリス,www.studio-alice.co.jp,1
2307,株式会社クロスキャット,www.xcat.co.jp,2
2311,株式会社エプコ,www.epco.co.jp,1
2315,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,www.caica.jp,1
2317,株式会社システナ,www.systena.co.jp,2
231A,Ｃｒｏｓｓ　Ｅホールディングス株式会社,cross-e-hd.co.jp,1
2321,株式会社ソフトフロントホールディングス,www.softfront.co.jp,1
